content_replicate,TimeToThreshold,RAF,MPR,MS
HC1,0,0,1.321790488,0.23365
HC2,0,0,1.489183489,0.2198
HC3,0,0,1.41811634,0.197
HC4,0,0,1.561038012,0.3332
HC5,0,0,1.408886458,0.4517
HC6,0,0,1.322461285,0.33165
HC7,0,0,1.5814307,0.4228
HC8,0,0,1.530335877,0.1978
HC9,0,0,1.562687064,0.3144
HC10,0,0,1.47799211,0.33695
HC11,0,0,1.393285303,0.47295
HC12,0,0,1.466698069,0.36655
HC13,0,0,1.486028473,0.4594
HC14,0,0,1.471014975,0.34275
HC15,0,0,1.526640371,0.54955
HC16,0,0,1.388668708,0.48465
HC17,0,0,1.427728231,0.4063
HC18,0,0,1.411934988,0.37205
HC19,0,0,1.357290304,0.41655
HC20,0,0,1.473555383,0.44645
HC21,0,0,1.340860647,0.4678
HC22,0,0,1.392064179,0.41525
HC23,0,0,1.372145312,0.23645
HC24,0,0,1.422040655,0.27995
HC25,0,0,1.413504397,0.18535
HC26,0,0,1.425904212,0.54045
HC27,0,0,1.759347539,0.37335
HC28,0,0,1.51742969,0.2873
HC29,0,0,1.602622114,0.4087
HC30,0,0,1.616334189,0.50245
HC31,0,0,1.36457066,0.3339
HC32,0,0,1.398153052,0.3839
HC33,0,0,1.468990554,0.27415
HC34,0,0,1.651874046,0.32185
HC35,0,0,4.274586727,5.1931
HC36,0,0,1.437331559,0.39855
HC37,0,0,3.248953641,3.39875
HC38,0,0,1.311561658,0.3099
HC39,0,0,1.392156863,0.18275
HC40,0,0,1.277122604,0.17035
HC41,0,0,1.268108523,0.1687
HC42,0,0,1.239780951,0.1584
MSA1,96,0.010416667,85.23672327,117.5613
MSA2,96,0.010416667,62.11569884,84.58495
MSA3,72,0.013888889,84.98190214,96.3944
MSA4,72,0.013888889,88.75287356,107.2025
MSA5,72,0.013888889,76.3794911,104.9826
MSA6,72,0.013888889,51.23255424,67.4151
MSA7,72,0.013888889,30.98722151,86.8242
MSA8,96,0.010416667,63.19949215,84.00515
MSA9,96,0.010416667,125.632165,168.0411
MSA10,72,0.013888889,61.20037678,95.08375
MSA11,72,0.013888889,67.09713755,77.7152
MSA12,72,0.013888889,42.44392758,53.5625
MSA13,72,0.013888889,73.10469405,119.92305
MSA14,96,0.010416667,55.8069697,68.40135
MSA15,96,0.010416667,61.14584103,84.51325
MSA16,72,0.013888889,95.80114955,116.77225
MSA17,96,0.010416667,44.07861049,66.04975
MSA18,72,0.013888889,89.65425029,118.59675
MSA19,72,0.013888889,33.09787119,81.55435
MSA20,72,0.013888889,40.60961193,60.804
MSA21,96,0.010416667,39.05976448,82.39865
MSA22,96,0.010416667,53.287142,80.02065
MSA23,96,0.010416667,47.09048257,72.7947
MSA24,72,0.013888889,43.80341223,56.84015
MSA25,72,0.013888889,38.48832555,48.9994
MSA26,72,0.013888889,67.24013236,89.2578
MSA27,72,0.013888889,25.29574561,80.3067
MSA28,72,0.013888889,26.47571037,81.8694
MSA29,72,0.013888889,21.29079249,46.50205
MSA30,72,0.013888889,47.73973789,73.67575
PD1,240,0.004166667,263.4245817,402.9089
PD2,240,0.004166667,262.0811297,376.93385
PD3,72,0.013888889,240.6161595,392.24585
PD4,168,0.005952381,191.1239001,279.7286
PD5,168,0.005952381,219.6996581,331.4476
PD6,144,0.006944444,236.6763424,408.2156
PD7,240,0.004166667,224.2426491,360.99025
PD8,240,0.004166667,199.5043896,289.07885
PD9,216,0.00462963,209.5083629,308.4961
PD10,288,0.003472222,199.028479,305.76965
PD11,192,0.005208333,235.0045939,374.51135
PD12,192,0.005208333,220.6007479,358.0152
PD13,192,0.005208333,210.808226,337.09115
PD14,216,0.00462963,235.2731166,388.33615
PD15,192,0.005208333,215.6505697,375.8321
PD16,192,0.005208333,310.9418224,468.55455
PD17,288,0.003472222,217.7222259,328.85285
PD18,192,0.005208333,274.997716,401.987
PD19,192,0.005208333,229.7122306,384.82715
PD20,144,0.006944444,219.3848219,390.60375
PD21,144,0.006944444,220.2230107,383.15605
PD22,192,0.005208333,323.8453984,522.4207
PD23,240,0.004166667,248.3273202,397.6034
PD24,192,0.005208333,309.2695318,417.4586
PD25,120,0.008333333,388.5155263,507.53215
PD26,216,0.00462963,268.4258853,378.11755
PD27,144,0.006944444,238.7994279,383.6328
PD28,168,0.005952381,127.9093534,188.8228
PD29,168,0.005952381,170.2521875,254.12815
PD30,120,0.008333333,184.6127126,251.71615
PD31,216,0.00462963,180.9286264,257.1855
PD32,72,0.013888889,242.1097448,377.46835
PD33,144,0.006944444,199.1026654,287.10315
PD34,216,0.00462963,181.0102053,312.1212
PD35,120,0.008333333,215.9957728,373.00125
PD36,120,0.008333333,99.35409725,174.054
PD37,168,0.005952381,332.2859145,472.9245
PD38,264,0.003787879,259.3512192,369.6448
PD39,240,0.004166667,165.7122938,251.3913
PD40,144,0.006944444,261.6399769,428.85445
PD41,192,0.005208333,231.8883112,386.3685
PD42,216,0.00462963,299.3146456,457.0777
PD43,240,0.004166667,220.8632342,342.66945
PD44,264,0.003787879,218.5385946,333.21805
PD45,216,0.00462963,231.6709083,328.1063
PD46,144,0.006944444,245.5370948,392.2375
PD47,24,0.041666667,5.291572184,303.9449
