content_replicate,TTT,RAF,MPR,MS
blank_1-20230920_M10,0,0,1.701086957,13.5
43G_1,0,0,1.646258503,5.5
43Gx01_1,0,0,1.702777778,13.25
44G_1,0,0,1.847682119,5.75
44Gx01_1,0,0,1.625,15
45G_1,0,0,1.724528302,3.5
45Gx01_1,0,0,1.6,28.25
50G_1,0,0,1.618421053,14.5
50Gx01_1,0,0,1.539944904,21.75
blank_2-20230920_M10,0,0,1.67,18.25
43G_2,0,0,1.717532468,14.25
43Gx01_2,0,0,1.711340206,23.25
44G_2,0,0,1.708074534,11.75
44Gx01_2,0,0,1.601918465,17.75
45G_2,45.75,0.021857923,3.447916667,80.5
45Gx01_2,0,0,1.576923077,16.25
50G_2,0,0,1.424403183,24.25
50Gx01_2,0,0,1.53271028,18
blank_3-20230920_M10,0,0,1.609813084,25.75
neg_1-20230920_M10,0,0,1.638356164,16.25
43G_3,0,0,1.524355301,21.25
43Gx01_3,0,0,1.68159204,15.5
44G_3,0,0,1.659574468,9.5
44Gx01_3,0,0,1.646370023,16.75
45G_3,43.5,0.022988506,3.323943662,82.25
45Gx01_3,0,0,1.614485981,22.25
50G_3,0,0,1.651315789,17.25
50Gx01_3,0,0,1.502272727,25.75
blank_4-20230920_M10,0,0,1.507936508,23.5
neg_2-20230920_M10,0,0,1.692118227,14.5
43G_4,40.5,0.024691358,3.567398119,74.25
43Gx01_4,0,0,1.618823529,15
44G_4,0,0,1.660714286,17.5
44Gx01_4,0,0,1.609480813,21.25
45G_4,0,0,2.659722222,40.75
45Gx01_4,0,0,1.563084112,23.25
50G_4,0,0,1.631034483,20.75
50Gx01_4,0,0,1.47597254,22.5
neg_3-20230920_M10,0,0,1.595641646,19.25
43G_5,0,0,1.660968661,16.75
43Gx01_5,0,0,1.583138173,20.25
44G_5,0,0,1.580838323,15
44Gx01_5,0,0,1.515909091,22
45G_5,0,0,2.461538462,49.25
45Gx01_5,0,0,1.524663677,21
50G_5,37.5,0.026666667,9.379194631,583.75
50Gx01_5,0,0,1.505773672,23.75
neg_4-20230920_M10,0,0,1.563084112,21.75
43G_6,0,0,1.585074627,9.75
43Gx01_6,0,0,1.551401869,20.5
44G_6,0,0,1.601190476,13
44Gx01_6,0,0,1.588785047,18.25
45G_6,27,0.037037037,3.794019934,94
45Gx01_6,0,0,1.481981982,24.75
50G_6,0,0,1.553691275,16.75
50Gx01_6,0,0,1.399103139,22
neg_5-20230920_M10,0,0,1.529691211,19.5
43G_7,0,0,1.6,16.75
43Gx01_7,0,0,1.515513126,19.75
44G_7,0,0,1.526162791,9.5
44Gx01_7,0,0,1.453125,17.5
45G_7,0,0,1.96875,24.25
45Gx01_7,0,0,1.463302752,21
50G_7,0,0,1.371165644,20.75
50Gx01_7,0,0,1.346666667,21.5
neg_6-20230920_M10,0,0,1.477434679,24
43G_8,0,0,1.515060241,15.75
43Gx01_8,0,0,1.49078341,20
44G_8,0,0,1.483146067,8.5
44Gx01_8,0,0,1.461358314,23.25
45G_8,0,0,2.811447811,47.5
45Gx01_8,0,0,1.423766816,23.5
50G_8,0,0,1.285310734,27.25
50Gx01_8,0,0,1.348115299,24.75
blank_1-20230920_M12,0,0,1.636363636,10.75
51G_1,0,0,1.46835443,11.25
51Gx01_1,0,0,1.590361446,10.25
55G_1,36,0.027777778,10.70175439,539.75
55Gx01_1,0,0,1.528688525,10.5
56G_1,0,0,1.566037736,10.5
56Gx01_1,0,0,1.592,11
57G_1,0,0,1.567708333,7.75
57Gx01_1,25.5,0.039215686,10.25316456,542.25
61G_1,43.5,0.022988506,13.13861386,584.5
61Gx01_1,0,0,1.603238866,8.75
blank_2-20230920_M12,0,0,1.596226415,12.25
51G_2,0,0,1.34469697,14
51Gx01_2,0,0,1.60754717,10.5
55G_2,0,0,1.435897436,12.75
55Gx01_2,0,0,1.576208178,10.25
56G_2,0,0,1.432539683,10.5
56Gx01_2,0,0,1.572490706,10.75
57G_2,26.25,0.038095238,10.72995781,554.5
57Gx01_2,0,0,1.610687023,10.75
61G_2,40.5,0.024691358,8.575,439.25
61Gx01_2,0,0,1.554347826,11.25
blank_3-20230920_M12,0,0,1.628252788,11
neg_1-20230920_M12,0,0,1.565957447,12.5
51G_3,0,0,1.375478927,13
51Gx01_3,0,0,1.550724638,8.25
55G_3,0,0,1.541666667,10.5
55Gx01_3,0,0,1.575971731,13
56G_3,0,0,1.524663677,12
56Gx01_3,0,0,1.608058608,11
57G_3,0,0,1.527896996,8.75
57Gx01_3,0,0,1.57195572,11.5
61G_3,0,0,1.450413223,10.5
61Gx01_3,0,0,1.477508651,13.5
blank_4-20230920_M12,0,0,1.638376384,12.75
neg_2-20230920_M12,0,0,1.5907173,9.5
51G_4,0,0,1.358490566,12.5
51Gx01_4,0,0,1.537366548,9.25
55G_4,0,0,1.440677966,12.75
55Gx01_4,0,0,1.501818182,10.5
56G_4,0,0,1.394308943,8.5
56Gx01_4,0,0,1.569343066,13.5
57G_4,47.25,0.021164021,6.634453782,335.75
57Gx01_4,22.5,0.044444444,7.76056338,384
61G_4,39,0.025641026,7.403225806,391.5
61Gx01_4,0,0,1.484429066,12.75
neg_3-20230920_M12,0,0,1.565543071,13.25
51G_5,0,0,1.307692308,15.5
51Gx01_5,0,0,1.464163823,11.25
55G_5,0,0,1.415584416,11.5
55Gx01_5,0,0,1.516014235,10
56G_5,45,0.022222222,7.169565217,357.75
56Gx01_5,0,0,1.489361702,11.5
57G_5,43.5,0.022988506,7.086956522,347.25
57Gx01_5,0,0,1.49122807,13.5
61G_5,0,0,1.433198381,11.75
61Gx01_5,0,0,1.436860068,13.5
neg_4-20230920_M12,0,0,1.522058824,13.75
51G_6,0,0,1.301818182,14.75
51Gx01_6,0,0,1.532646048,10
55G_6,0,0,1.384615385,10.5
55Gx01_6,0,0,1.519713262,11.25
56G_6,0,0,1.345833333,8.75
56Gx01_6,0,0,1.56097561,13.25
57G_6,0,0,1.366812227,11.5
57Gx01_6,0,0,1.450704225,11.75
61G_6,0,0,1.443983402,10.25
61Gx01_6,0,0,1.496527778,13
neg_5-20230920_M12,0,0,1.530035336,10.5
51G_7,0,0,1.28,15.75
51Gx01_7,0,0,1.47440273,11.5
55G_7,0,0,1.346153846,8.5
55Gx01_7,0,0,1.448630137,12.25
56G_7,0,0,1.208955224,14
56Gx01_7,0,0,1.43,14.25
57G_7,33.75,0.02962963,9.008403361,404.25
57Gx01_7,0,0,1.413559322,15.5
61G_7,19.5,0.051282051,11.0373444,570
61Gx01_7,0,0,1.472222222,22.25
neg_6-20230920_M12,0,0,1.494699647,10.75
51G_8,0,0,1.254416961,17
51Gx01_8,0,0,1.421768707,13.25
55G_8,0,0,1.370689655,9
55Gx01_8,0,0,1.450171821,13.75
56G_8,0,0,1.31512605,12
56Gx01_8,0,0,1.421052632,9.75
57G_8,12,0.083333333,17.36324786,905.75
57Gx01_8,0,0,1.445993031,13.5
61G_8,0,0,1.422764228,9.5
61Gx01_8,0,0,1.449781659,11
blank_1-20230920_M6,0,0,1.694827586,30
1G_1,0,0,1.655092593,8.25
1Gx01_1,0,0,1.699421965,23.75
2G_1,0,0,1.673160173,10.75
2Gx01_1,0,0,1.616607774,27.5
3G_1,0,0,1.653488372,6.75
3Gx01_1,0,0,1.500857633,40
7G_1,0,0,1.619266055,11.25
7Gx01_1,0,0,1.569686411,31.75
8G_1,0,0,1.589285714,10.25
8Gx01_1,0,0,1.550600343,36
blank_2-20230920_M6,0,0,1.623655914,41.5
1G_2,0,0,1.519685039,27.75
1Gx01_2,0,0,1.632352941,31
2G_2,0,0,1.584729981,30.25
2Gx01_2,0,0,1.703403566,19
3G_2,0,0,1.583682008,24.75
3Gx01_2,0,0,1.524024024,36.5
7G_2,0,0,1.668859649,13
7Gx01_2,0,0,1.557098765,33.25
8G_2,0,0,1.64,19
8Gx01_2,0,0,1.545454545,26.5
blank_3-20230920_M6,0,0,1.619047619,38.75
neg_1-20230920_M6,0,0,1.628721541,28.75
1G_3,0,0,1.602794411,25.75
1Gx01_3,0,0,1.534638554,36.5
2G_3,0,0,1.412903226,38
2Gx01_3,0,0,1.63650546,26.75
3G_3,0,0,1.55,26.75
3Gx01_3,0,0,1.525547445,33.5
7G_3,0,0,1.705020921,17
7Gx01_3,0,0,1.560606061,29.5
8G_3,0,0,1.498084291,24.75
8Gx01_3,0,0,1.454154728,36
blank_4-20230920_M6,0,0,1.554733728,40.75
neg_2-20230920_M6,0,0,1.605873261,33.25
1G_4,0,0,1.604743083,33
1Gx01_4,0,0,1.667731629,21.5
2G_4,0,0,1.463210702,33
2Gx01_4,0,0,1.618768328,33.25
3G_4,0,0,1.567307692,28.5
3Gx01_4,0,0,1.58125,25.75
7G_4,0,0,1.52,22.25
7Gx01_4,0,0,1.536764706,34.5
8G_4,0,0,1.455555556,26.5
8Gx01_4,0,0,1.477941176,39
neg_3-20230920_M6,0,0,1.572901325,39
1G_5,0,0,1.461678832,30
1Gx01_5,0,0,1.546391753,31
2G_5,0,0,1.470489039,30.5
2Gx01_5,0,0,1.522857143,32.25
3G_5,0,0,1.491362764,35
3Gx01_5,0,0,1.445833333,43.75
7G_5,0,0,1.550200803,21.75
7Gx01_5,0,0,1.498546512,35
8G_5,0,0,1.396396396,38.25
8Gx01_5,0,0,1.428571429,46.5
neg_4-20230920_M6,0,0,1.511695906,38.5
1G_6,0,0,1.489681051,33
1Gx01_6,0,0,1.538461538,23.25
2G_6,0,0,1.409539474,30.5
2Gx01_6,0,0,1.505730659,29.25
3G_6,0,0,1.398550725,27.75
3Gx01_6,47.25,0.021164021,4.890190337,675.25
7G_6,0,0,1.463740458,25.25
7Gx01_6,0,0,1.433701657,40.75
8G_6,0,0,1.449541284,31.75
8Gx01_6,0,0,1.396306818,45.5
neg_5-20230920_M6,0,0,1.447042641,37.5
1G_7,0,0,1.436464088,33.5
1Gx01_7,0,0,1.465049929,36.75
2G_7,0,0,1.359872611,33.25
2Gx01_7,0,0,1.44109589,35
3G_7,0,0,1.477317554,22.5
3Gx01_7,0,0,1.455182073,43.25
7G_7,0,0,1.345259392,41.25
7Gx01_7,0,0,1.431009957,42.75
8G_7,0,0,1.432532348,31.75
8Gx01_7,0,0,1.394405594,45.75
neg_6-20230920_M6,0,0,1.47754491,34.25
1G_8,0,0,1.406533575,30.25
1Gx01_8,0,0,1.444767442,29.25
2G_8,0,0,1.354098361,42.75
2Gx01_8,0,0,1.427792916,42
3G_8,0,0,1.391465677,25.25
3Gx01_8,0,0,1.401960784,42.25
7G_8,0,0,1.478787879,21.75
7Gx01_8,0,0,1.405777166,46.5
8G_8,0,0,1.687861272,45.75
8Gx01_8,0,0,1.396358543,46.75
blank_1-20230920_M7,0,0,1.77260274,11.75
9G_1,0,0,1.651090343,14
9Gx01_1,0,0,1.747191011,8.5
13G_1,0,0,1.682692308,6.5
13Gx01_1,0,0,1.651595745,9.75
15G_1,0,0,1.492105263,17
15Gx01_1,0,0,1.535353535,13.5
19G_1,0,0,1.663299663,11.25
19Gx01_1,0,0,1.594086022,14.75
blank_2-20230920_M7,0,0,1.769035533,7.75
9G_2,0,0,1.626780627,9.5
9Gx01_2,0,0,1.749379653,6.75
13G_2,0,0,1.636103152,10.75
13Gx01_2,0,0,1.616972477,10.75
15G_2,0,0,1.602531646,15.25
15Gx01_2,28.5,0.035087719,4.019002375,275
19G_2,0,0,1.729299363,14.5
19Gx01_2,0,0,1.564516129,14
blank_3-20230920_M7,0,0,1.782716049,8.5
neg_1-20230920_M7,0,0,1.76584022,9
9G_3,0,0,1.623188406,10.75
9Gx01_3,0,0,1.748815166,7.25
13G_3,0,0,1.693820225,10
13Gx01_3,0,0,1.716707022,9
15G_3,47.25,0.021164021,2.188995215,128.25
15Gx01_3,38.25,0.026143791,3.069767442,176.25
19G_3,42,0.023809524,2.751592357,56.5
19Gx01_3,0,0,1.518018018,19.5
blank_4-20230920_M7,0,0,1.747540984,6
neg_2-20230920_M7,0,0,1.807197943,6.25
9G_4,0,0,1.656338028,14.5
9Gx01_4,0,0,1.720095694,13
13G_4,0,0,1.614361702,12.25
13Gx01_4,0,0,1.756626506,10.5
15G_4,0,0,1.544152745,11.25
15Gx01_4,0,0,1.613882863,13.25
19G_4,0,0,1.71875,16.25
19Gx01_4,0,0,1.61589404,14.5
neg_3-20230920_M7,0,0,1.727047146,10.75
9G_5,0,0,1.611111111,11.5
9Gx01_5,0,0,1.740654206,10.5
13G_5,0,0,1.528947368,14
13Gx01_5,0,0,1.717647059,9.75
15G_5,38.25,0.026143791,2.871794872,177
15Gx01_5,0,0,1.588621444,15.5
19G_5,18,0.055555556,3.486238532,105.75
19Gx01_5,0,0,1.564920273,14.5
neg_4-20230920_M7,0,0,1.692488263,12.75
9G_6,0,0,1.524725275,18
9Gx01_6,0,0,1.616740088,12.25
13G_6,0,0,1.482323232,18
13Gx01_6,0,0,1.591011236,20.75
15G_6,39.75,0.025157233,10.1745283,961.25
15Gx01_6,0,0,1.616407982,16.25
19G_6,0,0,1.733944954,13.25
19Gx01_6,0,0,1.521064302,17.75
neg_5-20230920_M7,0,0,1.612826603,16
9G_7,44.25,0.02259887,3.563829787,230.5
9Gx01_7,0,0,1.726840855,6.75
13G_7,0,0,1.978319783,82.75
13Gx01_7,0,0,1.597254005,18
15G_7,36.75,0.027210884,12.71046229,1194.5
15Gx01_7,0,0,1.514099783,17.5
19G_7,12.75,0.078431373,4.272131148,118.5
19Gx01_7,0,0,1.583090379,8.5
neg_6-20230920_M7,0,0,1.567695962,15.5
9G_8,0,0,1.48655914,11.25
9Gx01_8,0,0,1.611235955,19.25
13G_8,0,0,1.636627907,12.25
