content_replicate,TimeToThreshold,RAF,MPR,MS
49G_1,0.0,0.0,1.356756757,14.75
49Gx01_1,0.0,0.0,1.623626374,13.0
49G_2,38.25,0.026143791,8.774509804,756.0
49Gx01_2,0.0,0.0,1.51635514,21.25
49G_3,38.25,0.026143791,7.115555556,682.25
49Gx01_3,0.0,0.0,1.522041763,16.75
49G_4,28.5,0.035087719,8.99031477,792.0
49Gx01_4,0.0,0.0,1.569739953,17.5
49G_5,0.0,0.0,1.226506024,25.25
49Gx01_5,0.0,0.0,1.457207207,23.0
49G_6,0.0,0.0,1.265151515,26.0
49Gx01_6,0.0,0.0,1.543820225,19.75
49G_7,44.25,0.02259887,4.637755102,354.25
49Gx01_7,0.0,0.0,1.512941176,21.75
49G_8,0.0,0.0,1.186397985,24.0
49Gx01_8,0.0,0.0,1.406818182,22.5
14G_1,0.0,0.0,1.619937695,8.75
14Gx01_1,0.0,0.0,1.643044619,9.25
14G_2,0.0,0.0,1.570291777,15.0
14Gx01_2,0.0,0.0,1.727272727,10.5
14G_3,0.0,0.0,1.711590296,19.25
14Gx01_3,0.0,0.0,1.66745283,9.0
14G_4,0.0,0.0,1.625336927,11.75
14Gx01_4,0.0,0.0,1.631818182,9.25
14G_5,0.0,0.0,1.533163265,16.0
14Gx01_5,0.0,0.0,1.577181208,18.75
14G_6,37.5,0.026666667,3.264197531,182.25
14Gx01_6,41.25,0.024242424,2.69751693,163.25
14G_7,0.0,0.0,1.485074627,13.75
14Gx01_7,0.0,0.0,1.552238806,12.25
14G_8,0.0,0.0,1.434782609,20.0
14Gx01_8,0.0,0.0,1.493243243,17.75
92G_1,0.0,0.0,3.566115702,53.0
92Gx01_1,0.0,0.0,1.355844156,13.75
98G_1,0.0,0.0,2.928338762,9.75
98Gx01_1,39.0,0.025641026,6.494011976,391.5
92G_2,0.0,0.0,2.43442623,11.75
92Gx01_2,32.25,0.031007752,21.25,1420.75
98G_2,0.0,0.0,3.088135593,14.5
98Gx01_2,0.0,0.0,1.366589327,27.25
92G_3,0.0,0.0,1.865470852,2.75
92Gx01_3,0.0,0.0,1.52173913,19.0
98G_3,0.0,0.0,2.673539519,15.0
98Gx01_3,0.0,0.0,1.358490566,21.5
92G_4,0.0,0.0,1.816901408,2.5
92Gx01_4,15.0,0.066666667,17.47154472,1387.75
98G_4,0.0,0.0,1.936651584,1.75
98Gx01_4,0.0,0.0,1.32629108,24.0
92G_5,0.0,0.0,1.69955157,2.0
92Gx01_5,9.75,0.102564103,10.05276382,766.25
98G_5,0.0,0.0,1.950943396,15.0
98Gx01_5,20.25,0.049382716,6.076923077,446.0
92G_6,0.0,0.0,1.719298246,3.5
92Gx01_6,45.75,0.021857923,4.483944954,394.25
98G_6,0.0,0.0,1.866071429,4.25
98Gx01_6,0.0,0.0,1.314553991,25.0
92G_7,0.0,0.0,1.735849057,3.0
92Gx01_7,0.0,0.0,1.273781903,32.75
98G_7,0.0,0.0,1.949541284,3.25
98Gx01_7,42.75,0.023391813,5.129716981,384.5
92G_8,0.0,0.0,1.535545024,2.75
92Gx01_8,23.25,0.043010753,6.972568579,393.25
98G_8,0.0,0.0,1.733624454,5.25
98Gx01_8,30.0,0.033333333,5.210526316,355.0
104G_1,0.0,0.0,1.454741379,32.5
104Gx01_1,0.0,0.0,1.549773756,8.0
104G_2,0.0,0.0,1.568733154,8.5
104Gx01_2,0.0,0.0,1.577083333,5.5
104G_3,0.0,0.0,1.553763441,4.5
104Gx01_3,33.0,0.03030303,8.099593496,836.5
104G_4,0.0,0.0,1.582677165,9.5
104Gx01_4,32.25,0.031007752,6.892996109,668.25
104G_5,0.0,0.0,1.524590164,3.5
104Gx01_5,46.5,0.021505376,8.907480315,1001.25
104G_6,45.0,0.022222222,6.678873239,321.75
104Gx01_6,39.75,0.025157233,7.489021956,810.5
104G_7,0.0,0.0,1.579545455,2.5
104Gx01_7,42.0,0.023809524,6.278656126,650.75
104G_8,0.0,0.0,1.574850299,2.25
104Gx01_8,38.25,0.026143791,6.214700193,644.25
121G_1,29.25,0.034188034,29.90816327,1910.0
121Gx01_1,0.0,0.0,1.275,30.5
121G_2,0.0,0.0,2.115819209,23.75
