content_replicate,TimeToThreshold,RAF,MPR,MS
blank_1-20221110_M2,0,0,1.176252319,12.83333333
neg_1-20221110_M2,0,0,1.180555556,7.333333333
pos_1-20221110_M2,0,0,18.53421634,1236.166667
2P.-1_1,0,0,1.151515152,8
2P.-2_1,0,0,1.098076923,8.666666667
2P.-3_1,0,0,1.036750484,3
4P.-1_1,0,0,1.044404973,3.5
4P.-2_1,0,0,1.03500761,9.833333333
4P.-3_1,0,0,1.046816479,5
5P.-1_1,0,0,1.156133829,12.5
5P.-2_1,0,0,1.174081238,12
5P.-3_1,0,0,1.013207547,2.5
blank_2-20221110_M2,0,0,1.235514019,12.16666667
neg_2-20221110_M2,0,0,1.201596806,10
pos_2-20221110_M2,0,0,9.129390018,707.3333333
2P.-1_2,0,0,1.375478927,19.5
2P.-2_2,0,0,1.090384615,4.166666667
2P.-3_2,0,0,1.150289017,9.833333333
4P.-1_2,0,0,1.052224371,3.666666667
4P.-2_2,0,0,9.530769231,630.8333333
4P.-3_2,0,0,1.047080979,4
5P.-1_2,0,0,1.164271047,12.16666667
5P.-2_2,0,0,1.122529644,6.5
5P.-3_2,0,0,1.038986355,3.166666667
blank_3-20221110_M2,0,0,1.190654206,13.5
neg_3-20221110_M2,0,0,1.23326572,14.5
pos_3-20221110_M2,0,0,16.87012987,1198.5
2P.-1_3,0,0,14.05202312,1108
2P.-2_3,0,0,1.314,12
2P.-3_3,0,0,1.070671378,7.666666667
4P.-1_3,0,0,1.041749503,3.666666667
4P.-2_3,0,0,1.056603774,4.666666667
4P.-3_3,0,0,1.1875,10.5
5P.-1_3,0,0,1.174,10
5P.-2_3,0,0,1.062248996,4.833333333
5P.-3_3,0,0,1.108949416,6.166666667
blank_4-20221110_M2,0,0,1.082692308,8.166666667
neg_4-20221110_M2,0,0,1.167322835,8.166666667
pos_4-20221110_M2,0,0,13.20118343,726.8333333
2P.-1_4,0,0,12.36781609,942.3333333
2P.-2_4,0,0,1.173828125,7.5
2P.-3_4,0,0,1.238476954,12.66666667
4P.-1_4,0,0,1.101338432,7.5
4P.-2_4,0,0,1.135559921,5.666666667
4P.-3_4,0,0,1.142857143,10.66666667
5P.-1_4,0,0,1.048543689,4.666666667
5P.-2_4,0,0,1.123046875,8
5P.-3_4,0,0,1.103250478,8.666666667
blank_5-20221110_M2,0,0,1.189555126,14.33333333
neg_5-20221110_M2,0,0,1.31,13.33333333
pos_5-20221110_M2,0,0,12.77777778,848.1666667
6P.-1_1,0,0,1.146534653,8.666666667
6P.-2_1,0,0,1.094488189,6.166666667
6P.-3_1,0,0,1.080769231,6
8P.-1_1,0,0,1.211065574,11.5
8P.-2_1,0,0,1.175648703,10.33333333
8P.-3_1,0,0,1.101593625,5.333333333
9P.-1_1,0,0,1.036734694,2.833333333
9P.-2_1,0,0,1.047619048,5.5
9P.-3_1,0,0,1.314115308,18.5
blank_6-20221110_M2,0,0,1.258064516,17.66666667
neg_6-20221110_M2,0,0,1.096078431,8.5
pos_6-20221110_M2,0,0,10.75432526,796.8333333
6P.-1_2,0,0,1.060283688,4.5
6P.-2_2,0,0,1.04109589,3.833333333
6P.-3_2,0,0,1.176470588,11.66666667
8P.-1_2,0,0,1.149105368,11.5
8P.-2_2,0,0,1.129032258,6.666666667
8P.-3_2,0,0,1.154440154,10.5
9P.-1_2,0,0,1.097465887,10
9P.-2_2,0,0,1.138832998,9.166666667
9P.-3_2,0,0,1.43083004,26.66666667
blank_7-20221110_M2,0,0,1.15648855,7.166666667
neg_7-20221110_M2,0,0,1.129896907,7.666666667
pos_7-20221110_M2,0,0,8.73294347,622.5
6P.-1_3,0,0,1.101727447,7.833333333
6P.-2_3,0,0,1.077212806,7.666666667
6P.-3_3,0,0,1.207900208,19.83333333
8P.-1_3,0,0,1.121649485,7.5
8P.-2_3,0,0,1.143968872,10.33333333
8P.-3_3,0,0,1.13671875,8.5
9P.-1_3,0,0,1.154901961,12.66666667
9P.-2_3,0,0,1.223968566,13.16666667
9P.-3_3,0,0,1.065637066,6.666666667
blank_8-20221110_M2,0,0,1.092130518,5
neg_8-20221110_M2,0,0,1.171259843,8.333333333
pos_8-20221110_M2,0,0,13.15904936,1042.666667
6P.-1_4,0,0,1.08994709,6.333333333
6P.-2_4,0,0,1.059121622,8.833333333
6P.-3_4,6,0.166666667,1.217957276,1710.333333
8P.-1_4,0,0,1.167938931,9.5
8P.-2_4,0,0,1.12145749,4.333333333
8P.-3_4,0,0,1.319391635,19.33333333
9P.-1_4,0,0,1.291585127,11.16666667
9P.-2_4,0,0,1.1640625,10
9P.-3_4,0,0,1.095703125,4.333333333
blank_1-20221110_M2,0,0,1.040767386,2.666666667
neg_1-20221110_M2,0,0,1.025423729,3.833333333
pos_1-20221110_M2,15.75,0.063492063,7.186666667,849
10P.-1_1,0,0,1.011792453,2.333333333
10P.-2_1,0,0,1.012805588,2.5
10P.-3_1,0,0,1.014994233,2.666666667
12P.-1_1,0,0,1.023364486,3.166666667
12P.-2_1,0,0,1.031026253,3.833333333
12P.-3_1,0,0,1.01056338,2.5
14P.-1_1,0,0,1.008215962,2.333333333
14P.-2_1,0,0,1.017751479,2.833333333
14P.-3_1,0,0,1.014405762,2.166666667
blank_2-20221110_M2,0,0,1.014371257,1.5
neg_2-20221110_M2,0,0,1.015892421,2.5
pos_2-20221110_M2,15,0.066666667,6.219244823,692.8333333
10P.-1_2,0,0,1.030525031,4.333333333
10P.-2_2,0,0,1.018315018,2.166666667
10P.-3_2,0,0,1.022754491,3.833333333
