Sample,x01,x02,x03,final,NumberOfReplicates
2P,MPR,-,-,0,4
4P,-,-,MS,0,4
5P,-,-,-,0,4
6P,-,-,-,0,4
8P,-,-,-,0,4
9P,-,-,-,0,4
10P,-,MS,-,0,4
12P,-,MS,-,0,4
14P,-,MPR;MS,-,0,4
16P,MS,-,MS,0,4
17P,RAF,RAF;MPR;MS,MS,1,4
18P,-,-,MS,0,4
20P,-,RAF;MPR;MS,-,1,4
21P,-,RAF;MPR;MS,-,1,4
22P,RAF;MPR;MS,-,RAF;MPR;MS,1,4
24P,-,-,-,0,4
26P,RAF;MPR;MS,-,RAF,1,4
28P,-,-,-,0,4
38P,-,-,-,0,4
40P,-,MS,-,0,4
41P,-,-,-,0,4
42P,-,-,-,0,4
44P,-,-,-,0,4
45P,-,-,-,0,4
29P,-,-,-,0,4
30P,-,-,-,0,4
32P,-,-,-,0,4
33P,MPR,-,-,0,4
34P,-,MPR,-,0,4
36P,-,-,-,0,4
46P,-,-,-,0,4
48P,-,-,-,0,4
50P,-,MPR;MS,-,0,4
52P,-,-,MPR,0,4
53P,-,-,-,0,4
54P,-,MPR,MPR,0,4
76P,-,-,-,0,4
77P,-,-,-,0,4
78P,-,-,-,0,4
80P,-,-,-,0,4
81P,-,-,-,0,4
82P,-,-,-,0,4
56P,-,-,-,0,4
57P,-,-,-,0,4
58P,-,RAF;MPR;MS,-,1,4
60P,-,-,-,0,4
64P,-,RAF;MPR;MS,MS,1,4
65P,RAF;MPR;MS,MPR,RAF,1,4
66P,RAF;MPR;MS,RAF;MPR;MS,-,1,4
68P,RAF;MPR;MS,-,RAF;MPR;MS,1,4
69P,RAF;MPR,RAF;MPR;MS,-,1,4
70P,RAF;MS,-,-,0,4
72P,RAF;MPR;MS,-,RAF;MPR;MS,1,4
74P,-,RAF;MPR;MS,-,1,4
84P,-,-,-,0,4
86P,-,-,-,0,4
88P,-,-,-,0,4
89P,-,-,-,0,4
90P,-,-,-,0,4
92P,-,-,-,0,4
93P,-,-,-,0,4
94P,-,-,-,0,4
96P,-,-,-,0,4
98P,-,-,-,0,4
100P,-,-,-,0,4
101P,-,-,-,0,4
102P,-,-,-,0,4
104P,-,-,RAF,0,4
105P,-,RAF,-,0,4
106P,RAF,-,RAF,0,4
108P,-,-,-,0,4
4C,MPR,-,NA,0,4
5C,RAF;MPR,-,NA,0,4
6C,-,-,NA,0,4
10C,-,-,NA,0,4
11C,RAF,-,NA,0,4
12C,-,-,NA,0,4
16C,-,-,NA,0,4
17C,-,-,NA,0,4
18C,MPR,-,NA,0,4
22C,-,-,NA,0,4
23C,-,-,NA,0,4
24C,-,-,NA,0,4
28C,-,-,NA,0,4
29C,-,-,NA,0,4
30C,-,-,NA,0,4
34C,-,-,NA,0,4
35C,-,-,NA,0,4
36C,-,-,NA,0,4
40C,-,-,NA,0,4
41C,-,-,NA,0,4
39C,-,-,NA,0,4
43C,-,-,NA,0,4
44C,-,-,NA,0,4
45C,-,-,NA,0,4
49C,-,-,NA,0,4
50C,MPR,-,NA,0,4
51C,-,-,NA,0,4
55C,-,-,NA,0,4
56C,-,-,NA,0,4
57C,-,-,NA,0,4
1C,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
2C,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
3C,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
7C,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
8C,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
9C,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
13C,-,-,NA,0,4
14C,-,-,NA,0,4
15C,-,-,NA,0,4
19C,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
42C,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
46C,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
47C,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
48C,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
52C,RAF;MPR;MS,RAF;MS,NA,1,4
53C,RAF,-,NA,0,4
54C,-,-,NA,0,4
58C,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
59C,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
60C,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
20C,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
21C,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
25C,MPR,MPR,NA,0,4
26C,MPR,MPR,NA,0,4
27C,MPR,MPR,NA,0,4
31C,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
32C,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
33C,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
37C,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
38C,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
1KB,-,-,NA,0,4
2KB,-,-,NA,0,4
3KB,-,-,NA,0,4
7KB,-,-,NA,0,4
