content,0,24,48,72,96,120,144,168,192,216,240,264,288,312,336,360
HC1,21.261,16.085,15.88,15.467,16.894,17.824,17.3625,17.938,17.079,18.286,18.4385,17.927,17.515,17.8035,18.676,17.9985
HC2,24.713,16.595,15.8175,16.2685,18.0345,18.7315,18.0485,17.521,18.207,17.8435,18.403,17.8965,18.0155,18.116,18.409,16.858
HC3,23.233,16.383,16.07,16.769,18.547,18.5585,17.6835,17.5245,18.5255,17.682,17.9545,17.5695,18.04,18.2425,18.9575,17.102
HC4,25.626,16.416,17.2935,17.497,18.0735,19.247,19.399,19.556,19.131,19.183,19.518,19.748,19.1055,19.3175,20.5145,19.7645
HC5,23.179,16.452,17.4105,17.184,19.274,20.829,19.7985,19.6765,21.414,21.384,20.8345,20.969,20.9115,21.326,22.0375,21.2325
HC6,19.3,14.594,15.273,15.514,17.3775,17.611,17.829,17.7325,18.615,17.154,18.874,17.9105,18.338,17.504,18.1875,17.3025
HC7,26.5285,16.775,16.9395,17.3205,18.797,19.664,21.293,20.443,20.155,19.7725,20.6345,21.003,20.066,20.6175,22.1025,21.2825
HC8,27.178,17.7595,17.591,17.821,18.56,20.04,20.3335,20.277,19.3015,18.8575,20.9625,19.7375,18.4385,19.6495,20.223,19.2745
HC9,23.495,15.035,15.6525,16.692,17.3475,17.829,18.6735,18.036,17.789,17.361,19.287,18.179,16.825,17.9275,19.0975,17.1715
HC10,23.7905,16.0965,15.9975,16.8255,17.3545,18.4915,19.527,18.8435,18.259,18.459,19.812,19.466,18.4325,18.48,19.975,18.535
HC11,24.464,17.5585,17.5835,17.5235,18.5285,19.9355,20.474,21.658,20.245,21.3075,22.7935,21.805,21.1545,21.8795,23.258,21.53
HC12,23.3535,15.9225,16.351,17.448,18.6725,17.007,18.7205,18.926,18.5815,17.009,18.6865,19.588,18.031,17.5465,18.9675,18.099
HC13,23.8515,16.0505,16.6735,18.377,18.912,18.442,20.099,19.9595,19.832,18.3865,20.4385,20.6445,19.38,19.0955,20.545,20.43
HC14,22.102,15.025,15.239,16.4995,16.996,16.7105,18.5385,17.5575,17.4185,16.722,18.2945,18.4525,17.112,17.5875,17.8995,17.1545
HC15,24.3835,15.972,17.4565,18.657,18.9985,18.3705,20.177,19.9595,20.36,18.4715,20.0345,21.4675,20.193,19.4365,21.408,19.83
HC16,23.1255,16.653,17.2045,18.6035,18.732,18.345,20.0865,20.1595,20.0045,18.0395,20.5295,21.4995,19.6,20.0055,21.2405,19.8025
HC17,22.012,15.4175,16.0345,17.5535,18.1225,18.478,18.5625,19.1235,19.007,18.192,20.114,19.4805,18.8615,18.7435,19.512,18.564
HC18,23.412,16.5815,16.6985,18.866,20.986,19.869,19.95,21.271,20.8265,20.0535,21.276,20.302,20.3545,19.894,20.5555,19.7955
HC19,23.342,17.1975,16.689,18.969,20.137,20.628,20.789,21.79,21.6015,19.619,20.5535,21.363,20.363,20.139,20.6785,20.286
HC20,23.7795,16.1375,15.888,17.4465,18.3275,18.6415,17.7905,19.7905,19.844,18.187,19.8295,20.602,19.4605,19.0795,19.7975,19.644
HC21,21.7025,16.1855,16.3625,18.11,19.3865,19.2705,18.82,20.2595,20.1295,18.938,19.7955,20.8635,20.021,19.5675,20.075,19.463
HC22,20.9095,15.0205,14.859,17.1235,17.4565,17.7695,18.036,18.5795,18.6645,17.779,18.0295,19.173,18.571,18.3085,18.4935,18.2475
HC23,21.3595,15.5665,15.537,14.925,16.821,16.725,16.667,17.1665,17.6125,16.62,17.073,17.192,17.084,17.2895,17.063,17.4545
HC24,25.1495,17.6855,17.872,17.301,18.128,19.924,19.854,19.687,20.2665,19.44,19.372,20.213,20.315,20.1005,20.4515,19.543
HC25,23.467,16.602,16.223,16,16.722,17.637,17.9545,18.0285,17.4895,17.7135,17.3945,18.4555,17.486,17.509,18.2525,17.8815
HC26,23.7135,16.6305,17.1135,17.2865,18.516,20.8975,20.3095,20.8025,21.155,20.686,21.0305,22.0275,22.399,22.691,23.644,23.332
HC27,30.632,17.411,17.7675,18.633,18.8815,19.3545,20.3065,20.0615,19.2615,19.6615,20.734,21.1445,19.8905,20.8365,21.031,20.653
HC28,25.008,16.4805,16.5575,17.1565,15.9775,17.9455,18.3925,17.951,17.147,18.215,18.097,18.4665,17.637,18.08,18.8505,18.0105
HC29,27.626,17.238,17.734,18.895,18.418,20.0995,20.134,20.3205,19.709,19.938,21.221,21.325,20.039,21.7895,22.1985,21.7665
HC30,24.5505,15.189,16.112,16.543,15.77,17.521,19.649,19.713,18.854,18.5945,19.8385,20.2135,19.271,19.728,20.7315,20.068
HC31,21.3105,15.617,16.1305,17.0835,16.359,18.2335,18.5065,17.8815,18.229,17.739,18.2465,18.956,17.8695,18.957,19.4475,18.1925
HC32,21.1205,15.106,15.9445,16.056,16.195,17.5265,17.443,17.5335,16.941,17.1835,17.8635,18.945,17.548,18.1935,19.3455,18.1185
HC33,21.8505,14.8745,15.0905,16.081,16.4325,19.964,16.2635,19.582,16.8855,16.4105,16.882,17.616,17.1245,16.656,17.187,17.325
HC34,29.22,17.689,17.9185,19.43,19.242,18.867,19.8675,20.557,19.3815,18.6885,19.4335,20.9075,20.5215,19.4395,19.7275,21.3165
HC35,25.0605,16.696,17.496,18.5175,18.9015,19.4375,20.339,21.6235,20.4645,19.587,20.4045,21.3785,21.335,19.8445,23.249,71.3685
HC36,21.5995,15.0275,15.6195,16.8095,17.0415,16.967,18.731,18.9965,18.743,17.2805,19.289,19.013,18.9615,17.285,19.6485,18.73
HC37,21.066,15.6495,15.404,15.9915,16.237,16.857,17.4045,17.4795,17.268,16.336,17.8705,19.7215,28.334,39.902,48.061,50.8445
HC38,20.442,15.586,15.418,16.299,16.455,16.606,17.2955,18.0375,18.375,16.8055,17.704,18.685,18.2145,17.591,18.7515,18.4565
HC39,23.1105,16.6005,15.806,16.5705,16.6055,17.076,17.191,18.1055,18.811,17.9915,17.7045,18.1535,17.6335,17.8835,17.7215,17.7905
HC40,20.0885,15.7295,15.1535,15.844,15.643,16.992,17.0375,17.128,17.5835,17.3505,16.7575,16.8695,16.857,16.9535,17.2885,17.508
HC41,19.818,15.628,15.346,16.104,16.435,17.0525,17.243,16.898,17.6325,18.1905,17.193,16.951,17.033,17.675,17.4565,17.038
HC42,19.017,15.339,14.8275,15.5555,15.9185,16.556,16.3205,16.122,16.7625,16.8515,16.476,16.4845,16.4115,16.764,16.995,16.7625
MSA1,20.404,15.723,15.9325,53.799,232.895,1059.194,1290.957,1222.38,1340.177,1261.741,1196.017,1158.713,1167.587,1181.697,1136.803,1075.892
MSA2,19.052,14.7495,15.555,86.8885,246.4975,319.631,308.8135,391.678,719.835,870.851,864.9015,824.9895,808.765,886.7225,916.1755,799.3075
MSA3,18.6425,13.427,105.133,299.973,1035.374,1141.052,1089.948,1029.428,1002.737,953.3685,958.041,977.371,933.3325,971.995,955.414,891.4605
MSA4,18.753,13.746,102.7645,330.887,1086.646,1219.997,1171.028,1060.933,1120.225,1094.585,1090.778,1014.097,1015.208,1097.983,1053.559,984.3265
MSA5,20.257,14.4035,47.163,207.1055,712.681,1100.132,1091.575,1069.072,1046.354,1079.957,1070.083,1007.768,1008.012,964.4495,969.3125,899.9785
MSA6,21.682,14.9105,64.5295,201.2135,386.603,763.903,708.1375,710.915,725.3695,711.2295,684.787,689.0615,678.235,708.892,692.638,649.3885
MSA7,20.4595,30.0505,121.408,502.7145,898.569,850.8355,891.889,931.1815,815.2765,820.154,888.7015,825.7935,789.7685,795.592,804.578,834.9655
MSA8,19.5505,13.9805,14.714,125.2995,384.349,820.164,883.5605,864.5065,824.599,809.7965,832.777,854.032,800.2825,808.348,869.4255,839.2
MSA9,21.577,13.9655,48.889,96.054,796.1255,1431.052,1720.193,1598.218,1533.537,1546.877,1701.988,1664.652,1532.831,1662.48,1754.516,1471.465
MSA10,26.085,17.517,128.574,415.874,1033.625,955.0525,1024.17,1072.047,964.7675,891.7925,944.639,968.3545,867.2575,843.8005,933.4355,841.567
MSA11,17.9975,12.3845,62.122,257.377,472.8,665.49,789.3115,793.9095,799.5325,724.2575,775.8155,789.5365,787.5005,733.8295,756.8115,830.9645
MSA12,23.534,14.9405,119.162,331.2945,545.936,634.1335,620.8595,578.893,605.738,592.3785,559.159,547.08,534.7245,543.852,542.087,513.965
MSA13,22.5295,19.9295,120.4645,397.945,1084.881,1456.94,1375.323,1391.328,1227.19,1149.066,1221.76,1187.885,1027.763,1121.525,1111.984,1137.715
MSA14,21.8515,13.2,39.5065,164.5265,467.54,702.507,703.4275,736.652,647.4425,678.453,696.4805,697.2135,660.62,698.562,712.2855,712.357
MSA15,21.121,14.8895,55.011,139.939,512.975,802.271,910.431,847.2285,830.6235,753.8775,792.9165,860.022,800.576,760.0715,816.71,851.7375
MSA16,22.671,14.0055,59.042,223.8075,694.5655,1341.743,1312.527,1253.067,1080.019,1060.099,1114.351,1181.728,953.0585,1028.922,1044.537,978.5865
MSA17,24.9125,15.545,15.5925,111.6735,266.1365,425.572,595.5595,685.202,632.9325,640.15,664.397,676.0425,609.7055,617.119,642.7265,638.3005
MSA18,24.1545,17.4635,68.928,253.5445,885.9175,1401.857,1456.347,1565.677,1294.495,1190.135,1177.84,1203.431,1192.181,1062.905,1076.332,1114.422
MSA19,21.2285,29.5235,105.752,340.344,898.649,977.165,895.0685,876.4045,835.171,787.7655,816.7415,845.067,834.9815,761.08,773.653,805.499
MSA20,20.4715,16.157,129.5605,351.675,626.68,643.45,645.786,639.3215,656.1295,582.877,568.509,624.197,591.665,565.2905,596.63,578.437
MSA21,23.3635,24.881,53.692,177.2675,668.4385,867.779,947.6725,951.333,971.846,804.4855,847.35,845.4755,827.809,778.6755,831.263,871.4605
MSA22,22.3445,17.5105,17.8065,91.6215,286.697,931.052,908.509,893.147,933.0845,875.256,822.551,656.8415,654.0635,646.627,598.3425,597.496
MSA23,20.839,17.158,17.3155,112.4985,416.8425,802.823,746.53,780.166,807.9785,785.2575,748.786,657.901,716.799,761.8705,699.174,748.4925
MSA24,19.3195,15.591,92.0465,349.2375,577.4545,682.939,651.595,636.153,655.577,636.722,587.721,558.8175,551.9305,552.453,541.1845,527.687
MSA25,20.074,14.99,142.2595,381.3435,472.315,573.559,527.8455,540.0765,576.94,555.5465,510.068,478.4135,506.433,512.666,485.317,498.423
MSA26,25.232,14.8085,111.95,465.688,796.8595,810.018,890.6735,995.7255,868.6485,798.9545,860.326,907.3865,837.1885,788.072,898.4415,867.009
MSA27,18.2605,36.621,137.004,580.8665,926.3555,917.658,841.262,874.774,879.7475,783.4645,821.3275,817.906,845.246,750.5815,730.3685,732.883
MSA28,22.0905,37.3925,134.476,578.762,989.993,896.736,853.951,880.3175,896.9645,838.333,840.7845,822.641,841.7015,793.442,771.8395,764.0355
MSA29,20.8375,32.745,141.068,346.0225,579.049,697.167,668.945,451.8955,462.661,489.373,485.858,458.6585,462.613,473.719,485.5725,465.8265
MSA30,23.483,16.7485,113.9435,385.9275,799.569,768.7695,743.097,759.842,786.6325,731.0445,738.1345,753.506,757.632,697.8625,696.7675,729.5825
PD1,15.1805,15.361,16.2545,17.376,17.381,18.2165,17.6435,18.0685,20.4215,71.4575,260.0805,1032.171,3924.455,4046.465,3459.42,3540.593
PD2,14.887,14.446,15.7775,16.4555,16.6855,16.5025,16.155,16.5115,16.4705,17.585,1798.146,2076.481,2119.743,3548.375,3786.024,3756.327
PD3,16.6655,16.5785,25.6545,2040.793,2218.3,2197.225,1883.223,3845.769,3989.055,3903.414,3749.579,3809.883,3948.113,3786.303,3509.763,3471.084
PD4,15.58,14.7175,16.077,16.3545,17.1865,21.9595,158.1315,990.0785,2044.772,2642.049,2812.866,2421.323,2631.827,2258.712,2354.39,2343.767
PD5,17.818,17.257,18.1695,19.6475,23.236,34.358,106.536,2060.874,2044.526,3791.357,3332.294,3294.661,3261.06,3135.292,3166.587,3079.926
PD6,17.788,17.3285,19.09,20.945,21.8235,20.4225,910.348,2095.479,1869,2523.225,3343.219,3958.348,4101.246,3270.501,3031.406,3062.899
PD7,16.7155,16.1715,16.4375,18.4085,18.6325,18.579,18.1585,19.1465,18.8555,47.0725,1906.158,3353.614,3626.34,3616.102,3350.878,3249.54
