content_replicate,TTT,RAF,MPR,MS
pos_1,14.2,0.070422535,10.90195289,16195.16667
SDS_1,0,0,1.081479254,317.1666667
166_1,0,0,1.053407171,391.1666667
197_1,12.53,0.07980846,19.57068291,28422.33333
333_1,0,0,1.170330843,88.16666667
360_1,10.03,0.099700897,25.9036763,34741.66667
363_1,15.04,0.066489362,13.32496965,20101.83333
376_1,22.56,0.044326241,11.88324519,17275.66667
384_1,23.39,0.042753313,13.43793584,19134.16667
508_1,0,0,1.33394749,86.83333333
735_1,0,0,1.43545568,84.16666667
431_1,0,0,1.095399732,373.5
pos_2,13.37,0.074794316,12.19170392,17680.83333
SDS_2,0,0,1.109276459,311.3333333
166_2,0,0,1.042865254,360.5
197_2,15.87,0.063011972,19.30256703,26638.66667
333_2,0,0,1.211469534,61.16666667
360_2,6.68,0.149700599,24.53653321,32987.5
363_2,20.89,0.047869794,15.14877799,25288.5
376_2,21.72,0.046040516,13.70064516,18350.83333
384_2,26.74,0.037397158,14.68692527,21596.83333
508_2,0,0,1.395301095,110
735_2,0,0,1.478768314,94.83333333
431_2,0,0,1.149521989,319.5
pos_3,15.87,0.063011972,11.00895029,16905.66667
SDS_3,40.94,0.024425989,14.95620945,4721.833333
166_3,0,0,1.059475397,243.5
197_3,11.7,0.085470085,19.50981067,26829.66667
333_3,0,0,1.326058201,80
360_3,7.52,0.132978723,21.86841153,28836.66667
363_3,19.22,0.052029136,16.18484016,25687.5
376_3,23.39,0.042753313,12.6,16715.66667
384_3,14.2,0.070422535,16.88257055,24999
508_3,0,0,1.332110092,92.16666667
735_3,0,0,1.333588957,82.5
431_3,0,0,1.107296611,345.8333333
pos_4,13.37,0.074794316,13.99207098,22779.5
SDS_4,0,0,1.120915392,248
166_4,0,0,1.095602931,159
197_4,15.04,0.066489362,18.50197762,25746.16667
333_4,0,0,1.024085833,47.5
360_4,7.52,0.132978723,22.66258503,29142
363_4,34.25,0.02919708,11.36929104,18169.5
376_4,15.87,0.063011972,20.50269557,28337.33333
384_4,20.05,0.049875312,15.76606226,23484.66667
508_4,0,0,1.325115938,71.5
735_4,0,0,1.678309289,105
431_4,0,0,1.12320889,350.5
neg_1,0,0,1.212212629,242.6666667
blank_1,0,0,1.024423034,11.5
 67_1,0,0,1.119230769,34.66666667
193_1,0,0,1.165849499,75.83333333
219_1,0,0,1.034315367,67.16666667
230_1,0,0,1.157130472,53.16666667
283_1,0,0,1.097586136,68.83333333
346_1,0,0,1.056701031,362.3333333
380_1,0,0,1.053260207,164.5
394_1,37.6,0.026595745,36.3359422,37926.66667
411_1,0,0,1.37587154,166
415_1,0,0,1.170475934,33.16666667
neg_2,0,0,1.078876706,102.1666667
blank_2,0,0,5.661483785,1709.5
 67_2,0,0,1.04144385,22.66666667
193_2,0,0,1.164655349,45.16666667
219_2,0,0,1.050614006,86.16666667
230_2,0,0,1.147799431,64.16666667
283_2,0,0,1.054915673,41
346_2,0,0,1.065507246,318.5
380_2,0,0,1.045970867,116.5
394_2,0,0,1.923233589,502.3333333
411_2,0,0,1.375676261,110.1666667
415_2,0,0,1.265530511,41.16666667
neg_3,0,0,1.085921943,210.1666667
blank_3,39.27,0.025464731,10.0827051,2272
 67_3,0,0,1.039345128,28.83333333
193_3,0,0,1.167019475,79.33333333
219_3,0,0,1.048327138,47.83333333
230_3,0,0,1.186223917,61.5
283_3,0,0,1.075443787,46.5
346_3,0,0,1.061038012,431.3333333
380_3,0,0,1.050584754,86.66666667
394_3,0,0,1.025762572,28.16666667
411_3,0,0,1.379858657,122.8333333
415_3,0,0,1.407948094,64.33333333
neg_4,0,0,1.11040561,295.6666667
blank_4,0,0,1.018603583,9.666666667
 67_4,0,0,1.050473186,21.33333333
193_4,0,0,1.23532887,65.33333333
219_4,0,0,3.062016753,2038.5
230_4,0,0,1.306740331,66.33333333
283_4,0,0,1.069168357,50.16666667
346_4,0,0,1.099080963,440.5
380_4,0,0,1.061471751,131.1666667
394_4,0,0,1.120963694,105.6666667
411_4,0,0,1.304716981,62.33333333
415_4,0,0,1.178743961,30
735_11,0,0,1.034320455,23.16666667
508_11,0,0,1.030428249,24.66666667
333_11,20.77,0.048146365,44.33645975,41759
514_1,0,0,1.073161697,36.5
431_11,0,0,1.002656546,188.5
394_11,42.35,0.023612751,37.0708776,40495.5
391_1,0,0,1.227184466,53.16666667
390_1,0,0,1.028164809,221.5
376_11,37.38,0.026752274,8.820344718,12389.5
358_1,0,0,1.034444238,14.66666667
SDS_11,46.51,0.021500753,8.150730936,2775.666667
neg_11,0,0,1.084564383,113
735_21,0,0,1.119257087,39.5
508_21,0,0,1.084061744,34.66666667
333_21,16.61,0.060204696,44.48246364,42310.83333
514_2,0,0,1.035910036,21.5
431_21,0,0,1.029311039,190.6666667
394_21,52.47,0.01905851,30.49318317,32599.66667
391_2,0,0,1.11637931,31.83333333
390_2,0,0,1.026557377,128.8333333
376_21,14.12,0.07082153,14.01812623,19688.5
358_2,0,0,1.017971014,27.5
SDS_21,0,0,4.482397152,2034
neg_21,0,0,1.153722611,94.16666667
735_31,0,0,1.072472126,33.33333333
508_31,0,0,1.071093468,39.16666667
333_31,17.44,0.05733945,45.2409953,42324.5
514_3,0,0,1.044067797,16.5
431_31,0,0,1.012718763,151.6666667
394_31,0,0,1.20117807,233.1666667
391_3,0,0,1.031902552,16.83333333
390_3,0,0,1.033851276,130.1666667
376_31,18.28,0.054704595,18.29808429,26299.16667
358_3,0,0,1.119830133,76.5
SDS_31,52.47,0.01905851,5.029890784,1773.666667
neg_31,0,0,1.174492945,142.6666667
735_41,0,0,1.157071784,65.83333333
508_41,0,0,1.016729323,20.83333333
333_41,22.43,0.044583148,43.82268667,41731
514_4,0,0,1.055296965,39.83333333
431_41,0,0,1.022812111,171.8333333
394_41,44.84,0.022301517,29.98674412,31844.16667
391_4,0,0,1.104499814,49
390_4,0,0,1.024871355,171.3333333
376_41,0,0,1.012775094,126
358_4,0,0,1.176396168,64.16666667
SDS_41,0,0,1.278576983,212.3333333
neg_41,0,0,1.107298751,199
355_1,0,0,1.020684586,206.6666667
350_1,0,0,1.046540684,56.33333333
269_1,0,0,1.040208136,60.16666667
232_1,50.81,0.019681165,10.35465635,10493.33333
193_11,0,0,1.045516971,22.16666667
188_1,0,0,1.033966034,38.16666667
118_1,0,0,2.213421927,1623.166667
355_2,0,0,1.010999804,267.8333333
350_2,0,0,1.02553324,51.66666667
269_2,0,0,1.057707636,57.5
232_2,49.98,0.020008003,30.55736981,33479.16667
193_21,49.15,0.02034588,5.785461323,2512.5
188_2,40.69,0.024576063,7.257137346,1777.166667
118_2,0,0,1.323157491,514.8333333
355_3,0,0,1.056086816,219
350_3,0,0,1.041297468,72.5
269_3,0,0,1.026679076,43.5
232_3,0,0,3.367609254,2797.833333
193_31,0,0,1.143876991,48.16666667
188_3,0,0,1.028653754,41.33333333
118_3,51.64,0.019364833,5.393644538,6043.5
355_4,26.58,0.037622272,9.456150507,14728.5
350_4,0,0,1.030634573,48.33333333
269_4,0,0,1.085909585,77.83333333
232_4,32.4,0.030864198,25.80690716,29322
193_41,0,0,1.186705947,48.33333333
188_4,0,0,1.051228521,74.5
118_4,44.01,0.022722109,5.147323543,5853.5
