content_replicate,0,0.84,1.67,2.51,3.34,4.18,5.01,5.85,6.68,7.52,8.36,9.19,10.03,10.86,11.7,12.53,13.37,14.2,15.04,15.87,16.71,17.55,18.38,19.22,20.05,20.89,21.72,22.56,23.39,24.23,25.06,25.9,26.74,27.57,28.41,29.24,30.08,30.91,31.75,32.58,33.42,34.25,35.09,35.93,36.76,37.6,38.43,39.27,40.1,40.94,41.77,42.61,43.44,44.28,45.12,45.95,46.79,47.62,48.46,49.29,50.13,50.96,51.8,52.63,53.47
pos_1,9022,9440,9505,9668,9934,10000,10493,11000,11346,11160,11381,11428,11077,11129,11612,13935,26947,43289,102980,108300,107514,106675,106596,104742,104500,102629,100191,99042,95360,94476,91748,90716,88897,86646,84401,83518,84189,81632,80939,80287,78833,79899,80007,79143,77087,77101,77892,77747,79303,77951,77848,78872,76982,77638,77577,78749,77817,78053,78148,77533,78042,77956,77607,77802,79023
SDS_1,8410,9188,9376,9804,9978,10231,10313,10542,10525,10490,10529,10651,10547,10495,10791,10530,10496,10393,10272,10241,10060,10100,10070,9998,10017,9822,9715,9794,9784,9806,9524,9735,9625,9650,9386,9563,9545,9362,9436,9549,9552,9590,9467,9578,9415,9581,9515,9486,9577,9706,9609,9567,9569,9841,9558,9665,9476,9495,9443,9365,9516,9384,9555,9406,9496
166_1,8814,9591,9929,10127,10654,10619,11161,10944,10919,10917,10736,11223,11175,10944,10918,10811,10778,10877,11108,10968,10828,10752,10639,10505,10633,10661,10488,10452,10304,10263,10313,10460,10452,10427,10126,10543,10802,10210,10349,10188,10189,10191,10200,9987,10060,9768,10153,10167,9935,9891,9946,10349,10080,10143,9823,10214,9457,9689,9657,10070,9704,10065,9735,10334,10652
197_1,7804,8685,8980,9020,9196,9195,9332,9527,9531,9297,9425,9556,9438,10682,17969,38596,90005,178389,179972,176069,169107,164283,158433,151771,150279,144887,140316,139966,135235,133340,130748,128572,127920,126520,125730,123528,125543,122510,122769,122605,122925,125173,125039,125433,122952,121149,123337,123441,124896,122730,122671,124304,122691,122875,123332,123813,122832,122957,123187,122955,123831,122127,122797,122381,124652
333_1,4492,4392,4409,4512,4685,4715,4795,4881,4938,4964,4995,5011,5085,5122,5076,5076,5219,5171,5077,5312,5156,5160,5400,5080,5352,5267,5191,5114,5176,5164,5245,5206,5126,5149,5213,5362,5235,5200,5275,5060,5184,5202,5285,5483,5195,5211,5276,5475,5227,5215,5384,5372,5313,5401,5330,5189,5155,5262,5286,5420,5331,5356,5176,5168,5442
360_1,7142,7963,8104,7911,8378,8532,8704,8586,8571,8872,19997,30976,63341,194009,217021,212999,209239,204448,200149,197485,190470,184885,182763,178490,174930,169183,162384,160426,155257,150231,148076,144074,144406,142585,138279,139374,139952,135502,138072,134416,134862,139148,137922,136842,136298,131693,136262,132801,137226,134625,134245,134958,134344,132984,134030,135321,132934,132777,132484,132312,132373,134144,134504,132348,135584
363_1,8299,9308,9564,9583,9884,9980,10111,10161,10302,10193,10273,10286,10439,10603,11093,11680,14028,18662,33144,74496,131704,129897,123988,117246,113699,108747,103599,102752,98387,95328,91711,91129,88917,88998,86534,86057,87588,85114,85739,84335,85592,85864,85451,86278,83697,82867,84364,88297,87104,87509,84140,85325,83914,84663,86866,84964,84705,85136,85300,85474,84629,86856,86324,86313,88601
376_1,8426,9073,9417,9617,10021,9863,10262,10334,10480,10460,10466,10732,10612,10868,10945,11101,10986,11087,10887,11093,11882,13580,15428,16928,18711,20268,24460,73980,119082,118781,111053,104433,100033,95511,89804,87287,84866,79516,78039,75799,73465,73339,72282,71317,69148,68291,68866,68856,69820,68191,68362,69571,68899,68375,68981,69137,68403,68135,68212,68602,68383,69622,68405,68895,70092
384_1,7995,8647,9029,9170,9321,9397,9569,9686,9578,9664,9741,9760,9783,9850,9876,9915,9963,9888,9962,9988,10127,10130,10111,9974,10450,12640,17529,25108,39716,113297,125255,118041,112923,108497,102414,98755,96448,91348,88827,86059,83866,83545,81572,80229,76579,75518,76577,89149,76038,73660,77901,75817,88113,78538,81834,74737,79143,74699,82289,72581,75545,70784,76890,73645,78168
508_1,4286,4200,4259,4127,4342,4399,4488,4496,4558,4648,4701,4779,4928,4923,5017,5036,5154,5174,5232,5240,5258,5343,5446,5566,5604,5632,5685,5644,5761,5672,5739,5740,5708,5763,5609,5747,5777,5697,5744,5671,5644,5792,5661,5645,5662,5717,5589,5579,5710,5653,5624,5636,5635,5522,5683,5574,5642,5599,5474,5527,5541,5580,5511,5428,5503
735_1,3831,3880,3885,3821,4005,3907,3994,4114,4129,4289,4249,4278,4417,4447,4484,4474,4620,4589,4656,4787,4689,4859,4944,4956,5061,5057,5194,4986,5197,5100,5301,5234,5206,5276,5322,5364,5506,5348,5290,5302,5388,5453,5376,5592,5416,5457,5480,5559,5469,5484,5749,5533,5669,5733,5616,5632,5697,5360,5469,5599,5523,5506,5551,5461,5502
431_1,9224,10172,10526,10730,11195,11246,11465,11792,11871,12042,11930,12228,11985,12001,12185,11938,11968,12050,12196,12256,12130,12263,12259,12140,12082,11741,11577,11428,11178,11066,11118,11014,11060,10833,10818,10898,10931,10790,10989,10839,10734,10944,10951,10800,10641,10584,10691,10614,10760,10492,10548,10638,10512,10834,11263,10479,10294,10674,10329,10281,10208,10022,10660,10385,10327
pos_2,8881,9333,9377,9398,9619,9884,9958,9928,10390,11391,11231,11249,11187,11299,13114,22419,78047,115494,117272,115579,114915,114996,111094,108961,108949,104883,101242,100197,96231,93903,91156,89372,86506,85058,84094,81736,82487,79800,79089,77628,78017,77819,78583,78405,76132,75416,76671,76935,78378,78480,78312,78870,78146,78235,78109,78701,78539,78428,79194,78502,79112,78614,78302,79050,80046
SDS_2,7444,7904,8275,8640,8721,8921,9312,9450,9544,9496,9477,9674,9516,9569,9616,9568,9529,9475,9317,9416,9188,9189,9140,9035,8972,9086,8964,8827,8735,8779,8645,8615,8710,8798,8892,8888,8575,8546,8540,8885,8804,8801,8678,8811,8690,8507,8509,8625,8613,8679,8504,8589,8656,8661,8421,8707,8430,8370,8278,8431,8342,8206,8153,8350,8446
166_2,8722,9736,10023,10228,10568,10649,10885,11016,10930,10889,11021,10910,10944,10909,10819,10578,10729,10596,10621,10554,10356,10294,10124,10101,10099,9966,9983,10103,9796,9911,10036,9884,9981,9838,9947,9866,10014,9937,10090,10037,9890,10113,9954,10030,10146,9956,10226,10210,9959,10412,10010,10068,10281,10099,9755,10105,9709,9956,9554,9735,9676,9503,9400,9203,9522
197_2,7861,8361,8464,8567,8765,8566,8742,9059,8983,9020,9059,9142,9146,9050,9246,9355,10965,21796,26509,59163,160569,169187,162583,153892,148986,142438,136322,133312,127730,123230,119065,116809,114219,112252,112068,108358,110502,106751,106995,110146,109466,108784,109478,112206,109344,107489,107276,108828,109896,107359,107289,111566,109792,108566,110527,109510,109963,110975,108509,110438,108751,108458,112122,108763,108813
333_2,4348,4331,4394,4386,4464,4537,4559,4698,4682,4742,4767,4834,4862,4849,4929,5052,5045,5076,5124,5051,5095,5145,5229,5084,5100,5321,5231,5206,5247,5181,5341,5169,5217,5171,5306,5228,5243,5158,5165,5163,5280,5323,5252,5309,5274,5274,5340,5218,5163,5280,5320,5325,5283,5386,5250,5396,5367,5250,5370,5322,5322,5408,5234,5339,5239
360_2,7590,8053,7991,8374,8417,8599,8869,13244,48385,120034,198144,206524,202620,202135,198630,195909,194333,190386,189414,188748,183393,179483,177342,177311,172174,169348,167501,166683,161943,159446,159156,158487,156968,154522,153791,152169,152770,149128,149962,151859,149355,149877,149520,148769,147580,144540,147260,146024,147296,146525,146696,148256,146005,146244,146103,144192,145908,145920,144621,143626,145237,144141,144097,142510,146096
363_2,9092,9658,10297,10531,10761,10698,10919,10984,10911,11017,11099,11199,11154,11218,11320,11279,11386,11337,11232,11103,11036,11285,11757,12961,17421,69748,149531,163016,158716,155678,151974,149610,147241,144977,141689,139503,140126,135527,135479,134452,134550,136216,134378,134824,132630,130532,131393,131396,133018,131440,133330,134525,135032,132916,134231,133001,132226,134030,133233,133787,132685,133930,134058,133951,135793
376_2,7940,8689,8941,9099,9300,9255,9476,9512,9592,9741,9817,9961,9847,9790,10050,10047,10106,10159,11194,12559,13851,15155,17311,18992,20934,23616,35260,111888,127416,122575,116546,110522,106801,105435,100523,97285,95960,94480,96511,91492,89046,90489,88747,90205,87722,89165,99426,88183,91456,89469,102363,91210,95336,92943,96304,94754,94251,97073,94744,101052,96872,93104,97234,97140,95264
384_2,7841,8768,9119,9337,9461,9602,9676,9781,9691,9826,9791,9820,9835,9814,9786,9760,9780,9552,9679,9749,9551,9458,9462,9456,9421,9600,9367,9582,9372,9546,12627,20629,40931,129391,138953,130377,125059,117440,112941,108977,106003,105011,102884,100337,98398,94837,96573,95193,96490,95177,94644,96137,95703,95834,95897,95727,96129,95666,97650,96644,96176,96624,97521,98948,98098
508_2,4325,4321,4324,4283,4384,4520,4559,4718,4804,4815,5044,5008,5156,5177,5321,5299,5395,5420,5527,5620,5628,5661,5716,5827,5961,5881,5906,5961,6053,5927,5993,5984,5981,5977,6003,5911,6117,5887,5928,5900,5914,5910,5895,6012,5935,5829,5880,5902,5875,5872,5987,5932,5940,5843,5878,5836,5800,5788,5767,5774,5665,5788,5763,5701,5773
