content_replicate,TTT,RAF,MPR,MS
bl_1,0,0,2.701298701,2.5
Neg_1,0,0,2.736842105,10.66666667
Pos_1,5,0.2,19.04225352,748.1666667
V_5_1,33.25,0.030075188,5.082191781,170
M_5_1,16.25,0.061538462,6.564356436,241
D_5_1,6.75,0.148148148,11.00326797,434.6666667
L_5_1,7.25,0.137931034,14.95238095,603.5
V_6_1,0,0,2.412903226,2.833333333
M_6_1,0,0,2.496644295,3.5
D_6_1,18.75,0.053333333,17.98051948,817.3333333
L_6_1,0,0,2.46179402,9.166666667
bl_2,0,0,2.575757576,4.166666667
Neg_2,0,0,2.562691131,7.166666667
Pos_2,4,0.25,17.30769231,701.1666667
V_5_2,12,0.083333333,9.046728972,406.8333333
M_5_2,7.25,0.137931034,12.8170347,558.5
D_5_2,6.25,0.16,14.05333333,542.5
L_5_2,4.5,0.222222222,8.895238095,330.5
V_6_2,0,0,2.862745098,4
M_6_2,0,0,2.528125,6.833333333
D_6_2,25.5,0.039215686,3.444444444,113.3333333
L_6_2,0,0,2.504731861,7.833333333
bl_3,46,0.02173913,2.64057971,65.83333333
Neg_3,0,0,2.718562874,9.333333333
Pos_3,4,0.25,16.60260586,706
V_5_3,13.5,0.074074074,5.233333333,191.8333333
M_5_3,12.75,0.078431373,5.671875,214.8333333
D_5_3,5.5,0.181818182,8.032786885,294
L_5_3,6.25,0.16,11.92121212,541.5
V_6_3,0,0,2.718446602,4.833333333
M_6_3,0,0,2.596273292,8.166666667
D_6_3,23.5,0.042553191,4.411042945,179.3333333
L_6_3,21.5,0.046511628,6.623003195,208.8333333
bl_4,0,0,2.652046784,9.333333333
Neg_4,0,0,2.516949153,7.166666667
Pos_4,4,0.25,16.46708464,680.1666667
V_5_4,21.5,0.046511628,4.815384615,165
M_5_4,12.75,0.078431373,5.955835962,232.6666667
D_5_4,5.25,0.19047619,8.949367089,351.1666667
L_5_4,6.75,0.148148148,7.188854489,262.1666667
V_6_4,0,0,2.467065868,6.166666667
M_6_4,0,0,2.683076923,14
D_6_4,0,0,2.526785714,3.166666667
L_6_4,0,0,2.596825397,6
bl_5,0,0,2.670422535,16.5
Neg_5,0,0,2.588757396,4.5
Pos_5,3.75,0.266666667,15.91277259,696.3333333
V_5_5,14.25,0.070175439,5.921135647,223.6666667
M_5_5,11.25,0.088888889,9.532051282,402.8333333
D_5_5,5,0.2,19.48286604,929.8333333
L_5_5,4.25,0.235294118,9.504477612,409.5
V_6_5,0,0,2.653125,5.333333333
M_6_5,0,0,2.634920635,5.333333333
D_6_5,0,0,2.456716418,3.833333333
L_6_5,0,0,2.504643963,7.5
bl_6,0,0,2.566473988,7.666666667
Neg_6,0,0,2.575581395,11
Pos_6,4.25,0.235294118,13.79552716,630.8333333
V_5_6,18.25,0.054794521,8.886435331,339.8333333
M_5_6,8.25,0.121212121,7.143302181,272.6666667
D_5_6,5,0.2,20.90123457,1007.833333
L_5_6,5.25,0.19047619,10.60856269,436.1666667
V_6_6,0,0,2.508982036,5.666666667
M_6_6,33,0.03030303,5.75,176.3333333
D_6_6,0,0,2.574534161,5.833333333
L_6_6,0,0,2.4,22.5
bl_7,36,0.027777778,2.614035088,19.83333333
Neg_7,0,0,2.551020408,4.666666667
Pos_7,4,0.25,19.2,683.3333333
V_5_7,16.25,0.061538462,8.053125,312
M_5_7,9.75,0.102564103,6.343558282,253.8333333
D_5_7,4.25,0.235294118,12.01857585,503.6666667
L_5_7,6.5,0.153846154,7.254658385,258.8333333
V_6_7,0,0,2.376093294,6
M_6_7,0,0,2.602564103,6.333333333
D_6_7,28.75,0.034782609,4.735202492,147.5
L_6_7,44,0.022727273,3.808510638,159.3333333
bl_8,15,0.066666667,2.395953757,28.5
Neg_8,0,0,2.419939577,12.5
Pos_8,5,0.2,15.68387097,702.8333333
V_5_8,38.25,0.026143791,4.731861199,155.5
M_5_8,9.25,0.108108108,11.04,518.1666667
D_5_8,6.25,0.16,10.90965732,485.6666667
L_5_8,8.75,0.114285714,7.466453674,282.1666667
V_6_8,0,0,2.32238806,7.666666667
M_6_8,28.5,0.035087719,13.10240964,493
D_6_8,0,0,2.325443787,7.5
L_6_8,0,0,2.356725146,7.5
bl_11,0,0,2.581132075,3.5
Neg_11,0,0,2.425925926,3.5
Pos_11,6.25,0.16,9.194331984,291.6666667
V_15_1,15,0.066666667,6.702205882,231.1666667
M_15_1,8.25,0.121212121,8.950757576,303.8333333
D_15_1,13.25,0.075471698,6.909803922,233.5
L_15_1,10,0.1,7.114391144,263
V_16_1,10.5,0.095238095,7.717472119,265.6666667
M_16_1,8,0.125,9.680297398,305.1666667
D_16_1,6,0.166666667,7.594982079,250.6666667
L_16_1,8.75,0.114285714,7.516981132,249
bl_21,0,0,2.510791367,4.666666667
Neg_21,0,0,2.413669065,4.666666667
Pos_21,5,0.2,11.01798561,452.8333333
V_15_2,13.25,0.075471698,6.114285714,199
M_15_2,8.5,0.117647059,6.314079422,211.8333333
D_15_2,12.25,0.081632653,5.988847584,205.3333333
L_15_2,6.5,0.153846154,9.286231884,320.3333333
V_16_2,11.5,0.086956522,7.953571429,289.5
M_16_2,8.75,0.114285714,7.65942029,284.3333333
D_16_2,5.25,0.19047619,8.541818182,302.8333333
L_16_2,6.25,0.16,7.869888476,251.3333333
bl_31,0,0,2.64874552,5.333333333
Neg_31,0,0,2.611888112,3.5
Pos_31,4.5,0.222222222,13.18315018,538.5
V_15_3,19.75,0.050632911,5.221428571,163.1666667
M_15_3,6.5,0.153846154,9.548736462,355
D_15_3,9.75,0.102564103,6.462962963,210.1666667
L_15_3,9.5,0.105263158,12.06741573,464
V_16_3,15,0.066666667,6.178571429,196.5
M_16_3,14.5,0.068965517,5.521276596,183
D_16_3,5.5,0.181818182,22.17424242,858
L_16_3,7,0.142857143,6.651685393,213.3333333
