,well,content,replicate,content_replicate,format,region,animal,XTH,plate_name,identity,tissue,species
bl_1,A01,bl,1,bl_1,96,bl,bl,0,20240716_p3,0,ear,elk
Neg_1,A02,Neg,1,Neg_1,96,Neg,Neg,0,20240716_p3,0,ear,elk
Pos_1,A03,Pos,1,Pos_1,96,Pos,Pos,1,20240716_p3,2,ear,elk
V_5_1,A04,V_5,1,V_5_1,96,V,5,1,20240716_p3,2,ear,elk
M_5_1,A05,M_5,1,M_5_1,96,M,5,1,20240716_p3,2,ear,elk
D_5_1,A06,D_5,1,D_5_1,96,D,5,1,20240716_p3,2,ear,elk
L_5_1,A07,L_5,1,L_5_1,96,L,5,1,20240716_p3,2,ear,elk
V_6_1,A08,V_6,1,V_6_1,96,V,6,0,20240716_p3,0,ear,elk
M_6_1,A09,M_6,1,M_6_1,96,M,6,0,20240716_p3,0,ear,elk
D_6_1,A10,D_6,1,D_6_1,96,D,6,1,20240716_p3,1,ear,elk
L_6_1,A11,L_6,1,L_6_1,96,L,6,0,20240716_p3,0,ear,elk
bl_2,B01,bl,2,bl_2,96,bl,bl,0,20240716_p3,0,ear,elk
Neg_2,B02,Neg,2,Neg_2,96,Neg,Neg,0,20240716_p3,0,ear,elk
Pos_2,B03,Pos,2,Pos_2,96,Pos,Pos,1,20240716_p3,2,ear,elk
V_5_2,B04,V_5,2,V_5_2,96,V,5,1,20240716_p3,2,ear,elk
M_5_2,B05,M_5,2,M_5_2,96,M,5,1,20240716_p3,2,ear,elk
D_5_2,B06,D_5,2,D_5_2,96,D,5,1,20240716_p3,2,ear,elk
L_5_2,B07,L_5,2,L_5_2,96,L,5,1,20240716_p3,2,ear,elk
V_6_2,B08,V_6,2,V_6_2,96,V,6,0,20240716_p3,0,ear,elk
M_6_2,B09,M_6,2,M_6_2,96,M,6,0,20240716_p3,0,ear,elk
D_6_2,B10,D_6,2,D_6_2,96,D,6,1,20240716_p3,1,ear,elk
L_6_2,B11,L_6,2,L_6_2,96,L,6,0,20240716_p3,0,ear,elk
bl_3,C01,bl,3,bl_3,96,bl,bl,1,20240716_p3,1,ear,elk
Neg_3,C02,Neg,3,Neg_3,96,Neg,Neg,0,20240716_p3,0,ear,elk
Pos_3,C03,Pos,3,Pos_3,96,Pos,Pos,1,20240716_p3,2,ear,elk
V_5_3,C04,V_5,3,V_5_3,96,V,5,1,20240716_p3,2,ear,elk
M_5_3,C05,M_5,3,M_5_3,96,M,5,1,20240716_p3,2,ear,elk
D_5_3,C06,D_5,3,D_5_3,96,D,5,1,20240716_p3,2,ear,elk
L_5_3,C07,L_5,3,L_5_3,96,L,5,1,20240716_p3,2,ear,elk
V_6_3,C08,V_6,3,V_6_3,96,V,6,0,20240716_p3,0,ear,elk
M_6_3,C09,M_6,3,M_6_3,96,M,6,0,20240716_p3,0,ear,elk
D_6_3,C10,D_6,3,D_6_3,96,D,6,1,20240716_p3,1,ear,elk
L_6_3,C11,L_6,3,L_6_3,96,L,6,1,20240716_p3,1,ear,elk
bl_4,D01,bl,4,bl_4,96,bl,bl,0,20240716_p3,0,ear,elk
Neg_4,D02,Neg,4,Neg_4,96,Neg,Neg,0,20240716_p3,0,ear,elk
Pos_4,D03,Pos,4,Pos_4,96,Pos,Pos,1,20240716_p3,2,ear,elk
V_5_4,D04,V_5,4,V_5_4,96,V,5,1,20240716_p3,2,ear,elk
M_5_4,D05,M_5,4,M_5_4,96,M,5,1,20240716_p3,2,ear,elk
D_5_4,D06,D_5,4,D_5_4,96,D,5,1,20240716_p3,2,ear,elk
L_5_4,D07,L_5,4,L_5_4,96,L,5,1,20240716_p3,2,ear,elk
V_6_4,D08,V_6,4,V_6_4,96,V,6,0,20240716_p3,0,ear,elk
M_6_4,D09,M_6,4,M_6_4,96,M,6,0,20240716_p3,0,ear,elk
D_6_4,D10,D_6,4,D_6_4,96,D,6,0,20240716_p3,0,ear,elk
L_6_4,D11,L_6,4,L_6_4,96,L,6,0,20240716_p3,0,ear,elk
bl_5,E01,bl,5,bl_5,96,bl,bl,0,20240716_p3,0,ear,elk
Neg_5,E02,Neg,5,Neg_5,96,Neg,Neg,0,20240716_p3,0,ear,elk
Pos_5,E03,Pos,5,Pos_5,96,Pos,Pos,1,20240716_p3,2,ear,elk
V_5_5,E04,V_5,5,V_5_5,96,V,5,1,20240716_p3,2,ear,elk
M_5_5,E05,M_5,5,M_5_5,96,M,5,1,20240716_p3,2,ear,elk
D_5_5,E06,D_5,5,D_5_5,96,D,5,1,20240716_p3,2,ear,elk
L_5_5,E07,L_5,5,L_5_5,96,L,5,1,20240716_p3,2,ear,elk
V_6_5,E08,V_6,5,V_6_5,96,V,6,0,20240716_p3,0,ear,elk
M_6_5,E09,M_6,5,M_6_5,96,M,6,0,20240716_p3,0,ear,elk
D_6_5,E10,D_6,5,D_6_5,96,D,6,0,20240716_p3,0,ear,elk
L_6_5,E11,L_6,5,L_6_5,96,L,6,0,20240716_p3,0,ear,elk
bl_6,F01,bl,6,bl_6,96,bl,bl,0,20240716_p3,0,ear,elk
Neg_6,F02,Neg,6,Neg_6,96,Neg,Neg,0,20240716_p3,0,ear,elk
Pos_6,F03,Pos,6,Pos_6,96,Pos,Pos,1,20240716_p3,2,ear,elk
V_5_6,F04,V_5,6,V_5_6,96,V,5,1,20240716_p3,2,ear,elk
M_5_6,F05,M_5,6,M_5_6,96,M,5,1,20240716_p3,2,ear,elk
D_5_6,F06,D_5,6,D_5_6,96,D,5,1,20240716_p3,2,ear,elk
L_5_6,F07,L_5,6,L_5_6,96,L,5,1,20240716_p3,2,ear,elk
V_6_6,F08,V_6,6,V_6_6,96,V,6,0,20240716_p3,0,ear,elk
M_6_6,F09,M_6,6,M_6_6,96,M,6,1,20240716_p3,1,ear,elk
D_6_6,F10,D_6,6,D_6_6,96,D,6,0,20240716_p3,0,ear,elk
L_6_6,F11,L_6,6,L_6_6,96,L,6,0,20240716_p3,0,ear,elk
bl_7,G01,bl,7,bl_7,96,bl,bl,1,20240716_p3,1,ear,elk
Neg_7,G02,Neg,7,Neg_7,96,Neg,Neg,0,20240716_p3,0,ear,elk
Pos_7,G03,Pos,7,Pos_7,96,Pos,Pos,1,20240716_p3,2,ear,elk
V_5_7,G04,V_5,7,V_5_7,96,V,5,1,20240716_p3,2,ear,elk
M_5_7,G05,M_5,7,M_5_7,96,M,5,1,20240716_p3,2,ear,elk
D_5_7,G06,D_5,7,D_5_7,96,D,5,1,20240716_p3,2,ear,elk
L_5_7,G07,L_5,7,L_5_7,96,L,5,1,20240716_p3,2,ear,elk
V_6_7,G08,V_6,7,V_6_7,96,V,6,0,20240716_p3,0,ear,elk
M_6_7,G09,M_6,7,M_6_7,96,M,6,0,20240716_p3,0,ear,elk
D_6_7,G10,D_6,7,D_6_7,96,D,6,1,20240716_p3,1,ear,elk
L_6_7,G11,L_6,7,L_6_7,96,L,6,1,20240716_p3,1,ear,elk
bl_8,H01,bl,8,bl_8,96,bl,bl,1,20240716_p3,1,ear,elk
Neg_8,H02,Neg,8,Neg_8,96,Neg,Neg,0,20240716_p3,0,ear,elk
Pos_8,H03,Pos,8,Pos_8,96,Pos,Pos,1,20240716_p3,2,ear,elk
V_5_8,H04,V_5,8,V_5_8,96,V,5,1,20240716_p3,2,ear,elk
