content_replicate,TTT,RAF,MPR,MS
pos_1,8.36,0.119617225,11.33978792,11133.33333
SDS_1,0,0,1.034833748,25
166_1,33.42,0.029922202,14.73720968,14077.33333
250_1,26.73,0.037411149,31.30920114,28331.16667
333_1,43.37,0.023057413,26.2616,26261.33333
353_1,18.38,0.054406964,9.645061728,8785
360_1,16.71,0.059844405,14.46502653,12683.16667
363_1,25.06,0.03990423,23.2577389,21988.66667
376_1,24.23,0.041271151,32.10148916,31955.5
384_1,29.24,0.034199726,12.20962656,11168.33333
508_1,0,0,1.035381396,14.33333333
735_1,0,0,1.023385689,76.33333333
pos_2,9.19,0.108813928,26.36752814,26683
SDS_2,0,0,1.03861881,16.5
166_2,50.38,0.019849146,6.995002343,6467.833333
250_2,45.04,0.022202487,13.51477024,11412
333_2,0,0,1.070485999,77.16666667
353_2,24.23,0.041271151,9.925829876,8607.833333
360_2,25.9,0.038610039,10.82793929,8907.333333
363_2,0,0,1.076146333,85.16666667
376_2,48.71,0.020529665,15.26991565,15209.83333
384_2,49.54,0.020185709,11.81613508,10543.5
508_2,0,0,1.008086253,28.16666667
735_2,36.76,0.027203482,34.64819322,29923.66667
pos_3,6.68,0.149700599,25.37813456,26597.66667
SDS_3,0,0,1.016494392,26.16666667
166_3,0,0,1.025658004,34.83333333
250_3,51.21,0.019527436,29.35708841,24767.33333
333_3,34.25,0.02919708,30.56558185,29983.83333
353_3,42.54,0.023507287,7.145464501,5633.166667
360_3,22.56,0.044326241,11.22093685,8898
363_3,25.06,0.03990423,12.73616709,10584.66667
376_3,25.9,0.038610039,15.32988329,6462.5
384_3,27.57,0.036271309,13.06446112,11777.16667
508_3,32.58,0.030693677,37.58217324,31163
735_3,0,0,1.059485832,34.5
pos_4,7.52,0.132978723,13.2464148,13237.16667
SDS_4,0,0,1.034745573,20.66666667
166_4,30.08,0.033244681,27.79195422,26527
250_4,20.05,0.049875312,10.71459227,9022.5
333_4,45.04,0.022202487,21.40261011,20861.66667
353_4,29.24,0.034199726,8.607806343,6757.666667
360_4,16.71,0.059844405,12.01210526,10418
363_4,0,0,1.100171723,48.83333333
376_4,45.88,0.02179599,9.602795384,8802.5
384_4,26.73,0.037411149,20.57449365,18970.16667
508_4,0,0,1.043992248,32.33333333
735_4,0,0,1.172354949,81
neg_1,0,0,1.044035913,93.33333333
blank_1,0,0,1,13.5
826_1,0,0,1.010893896,90
827_1,0,0,1.011529126,51.33333333
828_1,0,0,1.067304625,60.33333333
829_1,0,0,1.071144192,47.33333333
830_1,0,0,1.084642514,86.33333333
831_1,0,0,1.053872556,82.33333333
832_1,0,0,1.033513514,50.16666667
833_1,0,0,1.175989314,62
834_1,0,0,1.295642667,148.3333333
835_1,0,0,1.065716548,91.66666667
neg_2,0,0,1.002338999,30.16666667
blank_2,0,0,1,18.66666667
826_2,0,0,1.024317912,78.5
827_2,0,0,1.016940789,37.66666667
828_2,0,0,1.015667905,38.5
829_2,0,0,1.021781854,78
830_2,31.75,0.031496063,11.73233637,6296.333333
831_2,0,0,1.047078464,33
832_2,0,0,1.041907276,29.16666667
833_2,0,0,1.043943928,48
834_2,0,0,1.098744896,130.1666667
835_2,0,0,1.123424823,101.3333333
neg_3,0,0,1.012019231,22.83333333
blank_3,50.38,0.019849146,10.59787686,7541.166667
826_3,0,0,1.037561674,33
827_3,0,0,1.00777161,35.33333333
828_3,0,0,1.002751254,33.66666667
829_3,0,0,1.080608891,42.33333333
830_3,0,0,1.026094003,15.33333333
831_3,0,0,1.06061071,79
832_3,0,0,1.043316029,58
833_3,0,0,1.063061617,81.33333333
834_3,0,0,1.12549454,132.1666667
835_3,0,0,1.122671353,96.16666667
neg_4,0,0,1.017742967,44.83333333
blank_4,0,0,1.031094279,36.16666667
826_4,0,0,1.052381682,67.5
827_4,0,0,1.049546733,52.5
828_4,0,0,1.054917388,53.66666667
829_4,0,0,1.089379085,72.33333333
830_4,0,0,1.068627451,50.33333333
831_4,0,0,1.029883704,99.83333333
832_4,0,0,1.075634275,61.83333333
