,well,content,replicate,content_replicate,format,XTH,plate_name,identity,tissue,species
pos_1,A01,pos,1,pos_1,96,1,20201215_r1,2,muscle,WTD
SDS_1,A02,SDS,1,SDS_1,96,0,20201215_r1,0,muscle,WTD
166_1,A03,166,1,166_1,96,1,20201215_r1,2,muscle,WTD
250_1,A04,250,1,250_1,96,1,20201215_r1,2,muscle,WTD
333_1,A05,333,1,333_1,96,1,20201215_r1,2,muscle,WTD
353_1,A06,353,1,353_1,96,1,20201215_r1,2,muscle,WTD
360_1,A07,360,1,360_1,96,1,20201215_r1,2,muscle,WTD
363_1,A08,363,1,363_1,96,1,20201215_r1,2,muscle,WTD
376_1,A09,376,1,376_1,96,1,20201215_r1,2,muscle,WTD
384_1,A10,384,1,384_1,96,1,20201215_r1,2,muscle,WTD
508_1,A11,508,1,508_1,96,0,20201215_r1,0,muscle,WTD
735_1,A12,735,1,735_1,96,0,20201215_r1,0,muscle,WTD
pos_2,B01,pos,2,pos_2,96,1,20201215_r1,2,muscle,WTD
SDS_2,B02,SDS,2,SDS_2,96,0,20201215_r1,0,muscle,WTD
166_2,B03,166,2,166_2,96,1,20201215_r1,2,muscle,WTD
250_2,B04,250,2,250_2,96,1,20201215_r1,2,muscle,WTD
333_2,B05,333,2,333_2,96,0,20201215_r1,0,muscle,WTD
353_2,B06,353,2,353_2,96,1,20201215_r1,2,muscle,WTD
360_2,B07,360,2,360_2,96,1,20201215_r1,2,muscle,WTD
363_2,B08,363,2,363_2,96,0,20201215_r1,0,muscle,WTD
376_2,B09,376,2,376_2,96,1,20201215_r1,2,muscle,WTD
384_2,B10,384,2,384_2,96,1,20201215_r1,2,muscle,WTD
508_2,B11,508,2,508_2,96,0,20201215_r1,0,muscle,WTD
735_2,B12,735,2,735_2,96,1,20201215_r1,2,muscle,WTD
pos_3,C01,pos,3,pos_3,96,1,20201215_r1,2,muscle,WTD
SDS_3,C02,SDS,3,SDS_3,96,0,20201215_r1,0,muscle,WTD
166_3,C03,166,3,166_3,96,0,20201215_r1,0,muscle,WTD
250_3,C04,250,3,250_3,96,1,20201215_r1,2,muscle,WTD
333_3,C05,333,3,333_3,96,1,20201215_r1,2,muscle,WTD
353_3,C06,353,3,353_3,96,1,20201215_r1,2,muscle,WTD
360_3,C07,360,3,360_3,96,1,20201215_r1,2,muscle,WTD
363_3,C08,363,3,363_3,96,1,20201215_r1,2,muscle,WTD
376_3,C09,376,3,376_3,96,1,20201215_r1,2,muscle,WTD
384_3,C10,384,3,384_3,96,1,20201215_r1,2,muscle,WTD
508_3,C11,508,3,508_3,96,1,20201215_r1,2,muscle,WTD
735_3,C12,735,3,735_3,96,0,20201215_r1,0,muscle,WTD
pos_4,D01,pos,4,pos_4,96,1,20201215_r1,2,muscle,WTD
SDS_4,D02,SDS,4,SDS_4,96,0,20201215_r1,0,muscle,WTD
166_4,D03,166,4,166_4,96,1,20201215_r1,2,muscle,WTD
250_4,D04,250,4,250_4,96,1,20201215_r1,2,muscle,WTD
333_4,D05,333,4,333_4,96,1,20201215_r1,2,muscle,WTD
353_4,D06,353,4,353_4,96,1,20201215_r1,2,muscle,WTD
360_4,D07,360,4,360_4,96,1,20201215_r1,2,muscle,WTD
363_4,D08,363,4,363_4,96,0,20201215_r1,0,muscle,WTD
376_4,D09,376,4,376_4,96,1,20201215_r1,2,muscle,WTD
384_4,D10,384,4,384_4,96,1,20201215_r1,2,muscle,WTD
508_4,D11,508,4,508_4,96,0,20201215_r1,0,muscle,WTD
735_4,D12,735,4,735_4,96,0,20201215_r1,0,muscle,WTD
neg_1,E01,neg,1,neg_1,96,0,20201215_r1,0,muscle,WTD
blank_1,E02,blank,1,blank_1,96,0,20201215_r1,0,muscle,WTD
826_1,E03,826,1,826_1,96,0,20201215_r1,0,muscle,WTD
827_1,E04,827,1,827_1,96,0,20201215_r1,0,muscle,WTD
828_1,E05,828,1,828_1,96,0,20201215_r1,0,muscle,WTD
829_1,E06,829,1,829_1,96,0,20201215_r1,0,muscle,WTD
830_1,E07,830,1,830_1,96,0,20201215_r1,0,muscle,WTD
831_1,E08,831,1,831_1,96,0,20201215_r1,0,muscle,WTD
832_1,E09,832,1,832_1,96,0,20201215_r1,0,muscle,WTD
833_1,E10,833,1,833_1,96,0,20201215_r1,0,muscle,WTD
834_1,E11,834,1,834_1,96,0,20201215_r1,0,muscle,WTD
835_1,E12,835,1,835_1,96,0,20201215_r1,0,muscle,WTD
neg_2,F01,neg,2,neg_2,96,0,20201215_r1,0,muscle,WTD
blank_2,F02,blank,2,blank_2,96,0,20201215_r1,0,muscle,WTD
826_2,F03,826,2,826_2,96,0,20201215_r1,0,muscle,WTD
827_2,F04,827,2,827_2,96,0,20201215_r1,0,muscle,WTD
828_2,F05,828,2,828_2,96,0,20201215_r1,0,muscle,WTD
829_2,F06,829,2,829_2,96,0,20201215_r1,0,muscle,WTD
830_2,F07,830,2,830_2,96,1,20201215_r1,1,muscle,WTD
831_2,F08,831,2,831_2,96,0,20201215_r1,0,muscle,WTD
832_2,F09,832,2,832_2,96,0,20201215_r1,0,muscle,WTD
833_2,F10,833,2,833_2,96,0,20201215_r1,0,muscle,WTD
834_2,F11,834,2,834_2,96,0,20201215_r1,0,muscle,WTD
835_2,F12,835,2,835_2,96,0,20201215_r1,0,muscle,WTD
